id,nombre,categoria,precio,stock
1,Mouse,Periférico,100.0,5
2,Teclado Mecánico,Periférico,45000.0,2
3,Monitor 24'',Pantallas,120000.0,8
4,Auriculares Gamer,Audio,35000.0,15
5,Memoria RAM 8GB,Componentes,25000.0,20
6,Disco SSD 480GB,Almacenamiento,30000.0,12
7,Procesador i5,Componentes,180000.0,5
8,Placa de Video,Componentes,250000.0,3
9,Gabinete ATX,Componentes,40000.0,7
10,Fuente 600W,Componentes,32000.0,9
11,Cámara Web HD,Accesorios,18000.0,14
12,Impresora Multifunción,Oficina,95000.0,6
13,Router Wi-Fi 6,Redes,28000.0,10
14,Micrófono USB,Audio,22000.0,11
15,Silla Gamer,Mobiliario,150000.0,2
16,Pasta Térmica,Mantenimiento,5000.0,50
17,Adaptador HDMI-VGA,Accesorios,3500.0,25
18,Joystick PS4,Gaming,42000.0,8
19,Hub USB-C,Accesorios,12000.0,18
20,Cooler CPU,Componentes,15000.0,13
