id,titulo,autor,anio,stock
None,Cien anios de soledad,Gabriel Garcia Marquez,1967,5
None,Don Quijote de la Mancha,Miguel de Cervantes,1605,3
None,Rayuela,Julio Cortazar,1963,4
None,La ciudad y los perros,Mario Vargas Llosa,1963,2
None,El tunel,Ernesto Sabato,1948,6
None,Ficciones,Jorge Luis Borges,1944,7
None,Pedro Paramo,Juan Rulfo,1955,3
None,La casa de los espiritus,Isabel Allende,1982,4
None,Cronica de una muerte anunciada,Gabriel Garcia Marquez,1981,5
None,Ensayo sobre la ceguera,Jose Saramago,1995,2
